tramiteId,numero,patente,estadoWorkflow,pasoActual,pagosWorkflow,recibosEmitidos,diferencia,honorarios,cantPagos,cantRecibos,caso,registradoPor
0o8g4tcEDB922O7YXaB3,MUL-26-0218,AB407KI,recepcion,2,0,0,0,0,0,0,sin-pagos,
5UXhZA3mRokaxv9YckE4,MUL-26-0250,MZD634,en_revision,3,504010,504010,0,504010,1,1,ok,"Jessica  Medina"
5yjY6xWwXwgdBy26PCXl,MUL-26-0221,AE081AO,en_revision,3,184370,184370,0,184370,1,1,ok,"Jessica  Medina"
6B7xrTx9db6d66yHezwi,MUL-26-0201,AB123CD,en_revision,3,0,0,0,0,0,0,sin-pagos,
6dAcXb7aAG6UJPYCghtc,MUL-26-0222,AD740UB,en_revision,3,230290,230290,0,230290,1,1,ok,"Jessica  Medina"
7RnWkfbgMH2So9JIeVzZ,MUL-26-0256,NKT118,en_revision,3,706300,706300,0,706300,1,1,ok,"Jessica  Medina"
7WV9jklnqWwIX8PLSZVY,MUL-26-0273,AG422UU-,recepcion,1,0,0,0,0,0,0,sin-pagos,
8FJwnJ9KmJ0uWSpumONg,MUL-26-0266,AB141EX,en_revision,3,250000,250000,0,250000,1,1,ok,"Alexia  Pini"
8WjYHpeXmaFBUP8B4baC,MUL-26-0211,AB817WI,en_revision,3,799979,799979,0,799979,1,1,ok,"Gonzalo Vieyra"
91kmNnkzNgTJEF8Z0xS0,MUL-26-0246,AA456HÑ,en_revision,3,136800,136800,0,136800,1,1,ok,"Jessica  Medina"
9F7T2satCrBfow2ihbJn,MUL-26-0227,A126THZ,en_revision,3,230140,230140,0,230140,1,1,ok,"Jessica  Medina"
9Hs0gIvkQ2hIRU59eOte,MUL-26-0244,AH837TJ,en_revision,3,156269,156269,0,156269,1,1,ok,"Gonzalo Vieyra"
9eEwHE0uZO2xLrge16wx,MUL-26-0193,OOR894,recepcion,2,0,0,0,0,0,0,sin-pagos,
Am0shQnV2EcJnUJUaQPw,MUL-26-0259,OTW874,en_revision,3,2875532,2875532,0,2875532,1,1,ok,"Alexia  Pini"
BEwmzvQC82KL5ByXnZEU,MUL-26-0206,MOE201,en_revision,3,304423,304423,0,304423,1,1,ok,"Alexia  Pini"
C1Fd87warIWI2BwXBPKN,MUL-26-0263,JXQ454,en_revision,3,344340,344340,0,344340,1,1,ok,"Alexia  Pini"
DlsQWkXcrHue4yk4J2xM,MUL-26-0242,PAI555,en_revision,3,323720,323720,0,323720,1,1,ok,"Jessica  Medina"
EIlfIh5UywxHNCtmSKI7,MUL-26-0188,A249MIC,en_revision,3,278326,278326,0,278326,1,1,ok,"Jessica  Medina"
EMyo8dRwwZXVO0W00pnQ,MUL-26-0267,NJY344,en_revision,3,1342277,1342277,0,1342277,1,1,ok,"Jessica  Medina"
F4ZotDIECwNIJcwdGlFs,MUL-26-0200,AB123CD,recepcion,1,0,0,0,0,0,0,sin-pagos,
FK0Kb45Uvcwzrlspg30I,MUL-26-0251,JXK327,en_revision,3,1443344,1443344,0,1443344,1,1,ok,"Jessica  Medina"
FvhH3ViRLfbhiDt55Glm,MUL-26-0258,LKD126,en_revision,3,1766857,1766857,0,1766857,1,1,ok,"Alexia  Pini"
H2y32Qarf7fJObXG96Y0,MUL-26-0224,IZB729,en_revision,3,1850112,1850112,0,1850112,1,1,ok,"Alexia  Pini"
J8bg7yrcouUQo8LDZNL0,MUL-26-0269,MRT593,en_revision,3,205000,205000,0,205000,1,1,ok,"Jessica  Medina"
JkwC2EaEIgKD4X2lgDH0,MUL-26-0202,ELF087,en_revision,3,263455,263455,0,263455,1,1,ok,"Jessica  Medina"
JsCK2eXrC2452CUcSpT1,MUL-26-0271,IIX933,en_revision,3,84701,84701,0,84701,1,1,ok,"Jessica  Medina"
K4xeI3RQzssQPiGH5DaW,MUL-26-0196,AB123CD,recepcion,1,0,0,0,0,0,0,sin-pagos,
KFr2JLm5gdnkNhe3WoZO,MUL-26-0241,FJM680,en_revision,3,263455,263455,0,263455,1,1,ok,"Jessica  Medina"
Kg8LQWZDsUjC3F2IqVJa,MUL-26-0213,AE566IO,en_revision,3,4049451,4049451,0,4049451,1,1,ok,"Jessica  Medina"
KxABHuN7y7DACgadIzI9,MUL-26-0191,AH439UL,en_revision,3,71097,71097,0,71097,1,1,ok,"Jessica  Medina"
L3vLL7FYmfYq2M30jGxX,MUL-26-0280,KJU717,en_revision,3,486677,486677,0,486677,1,1,ok,"Jessica  Medina"
MCVGOzJvoclTMvqO2WL5,MUL-26-0253,AC028YV,en_revision,3,161260,161260,0,161260,1,1,ok,"Jessica  Medina"
N17kVZreZjGtMVR9v4Dw,MUL-26-0197,AB123CD,recepcion,1,0,0,0,0,0,0,sin-pagos,
OH6heOQ0JpIeMFews9jD,MUL-26-0223,OOG073,en_revision,3,2732000,2732000,0,2732000,2,2,ok,"Gonzalo Vieyra"
OIj5l3OP5RmRUT7AOVru,MUL-26-0276,AA999MB,en_revision,3,161860,161860,0,161860,1,1,ok,"Ruben Villalba"
PJ8MQZ8pPx7ryb6vGQsa,MUL-26-0268,AA858AZ,en_revision,3,891168,891168,0,891168,1,1,ok,"Jessica  Medina"
PNuteJXT1rZgWRenkvLn,MUL-26-0243,MZM356,en_revision,3,297520,297520,0,297520,1,1,ok,"Jessica  Medina"
PsdjL4LtYP0uvKhGjqCT,MUL-26-0230,PEP027,en_revision,3,259505,259505,0,259505,1,1,ok,"Alexia  Pini"
Q69wbkGlJka3Rc3EkhKy,MUL-26-0185,LFX642,en_revision,3,137757,137757,0,137757,1,1,ok,"Jessica  Medina"
QfYM8drUGKwKBMW0GAtp,MUL-26-0270,AD598QF,en_revision,3,230290,230290,0,230290,1,1,ok,"Jessica  Medina"
R4GDb5rbIct7vE9rZ6QR,MUL-26-0219,AB972YB,en_revision,3,775107,775107,0,775107,1,1,ok,"Jessica  Medina"
RRRdmoxxLkG6OkFugApi,MUL-26-0189,COQ314,en_revision,3,430580,430580,0,430580,1,1,ok,"Jessica  Medina"
RS5vYLDNjF6yWeIboMNS,MUL-26-0252,AC912WL,en_revision,3,1700000,1700000,0,1700000,1,1,ok,"Jessica  Medina"
SCVzEkf4zTnR5kv8ICxK,MUL-26-0225,AC838KW,en_revision,3,186260,186260,0,186260,1,1,ok,"Jessica  Medina"
T8lNEKWuF1T510lBQ8xr,MUL-26-0272,AC557XU,en_revision,3,263455,263455,0,263455,1,1,ok,"Gonzalo Vieyra"
TORvXcNt4RTzAshlb8Jm,MUL-26-0279,AB880OU,en_revision,3,504010,504010,0,504010,1,1,ok,"Jessica  Medina"
U1wcP8eJV99QPFLr0xTU,MUL-26-0247,PNN056,en_revision,3,2669913,2669913,0,2669913,1,1,ok,"Jessica  Medina"
V0lk9F0wq7sMqRmR2UbU,MUL-26-0217,AB456EM,en_revision,3,1102773,1102773,0,1102773,1,1,ok,"Alexia  Pini"
VrsuAan1RUCTTkhWjw9c,MUL-26-0254,AF963WC,en_revision,3,1462030,1462030,0,1462030,1,1,ok,"Jessica  Medina"
WPoVo9vZMEtLliQ7AiPL,MUL-26-0265,AF026AA,en_revision,3,1359385,1359385,0,1359385,1,1,ok,"Jessica  Medina"
WTsAELea4ZeT3sQVTU9R,MUL-26-0208,AE810LA,en_revision,3,57000,57000,0,57000,1,1,ok,"Jessica  Medina"
Wd6BZxI7BeGSk3OnxzeL,MUL-26-0278,KIX026,en_revision,3,1290055,1290055,0,1290055,1,1,ok,"Jessica  Medina"
WuRUZkj2TQxFkvQOnI7Y,MUL-26-0234,NFM342,en_revision,3,1152000,1152000,0,1152000,1,1,ok,"Alexia  Pini"
XVHj030Vkc8BvFY8qVSC,MUL-26-0186,AC019EF,en_revision,3,1348535,1348535,0,1348535,1,1,ok,"Jessica  Medina"
XuvuIlrbj99ko8m8dG00,MUL-26-0178,AF430FY,en_revision,3,967383,1967383,-1000000,1967383,1,2,RECIBO-DE-MAS,"Alexia  Pini"
YGTlKodCS8CM9QptXXTp,MUL-26-0187,KQS062,en_revision,3,2121328,2121328,0,2121328,1,1,ok,"Jessica  Medina"
YbgxV4aeVXDXeOXyRKRr,MUL-26-0207,PIH653,en_revision,3,1132790,1132790,0,1132790,1,1,ok,"Jessica  Medina"
b0hHByH9WHGIawAYw4HV,MUL-26-0235,AB716LD-,en_revision,3,127000,127000,0,127000,1,1,ok,"Gonzalo Vieyra"
bHntW96noWXZvESNar0y,MUL-26-0203,OXY410,en_revision,3,1226774,1226774,0,1226774,1,1,ok,"Jessica  Medina"
bbgRiIv2ac3FLuL1S1c0,MUL-26-0231,NWM141,en_revision,3,1107026,1107026,0,1107026,1,1,ok,"Alexia  Pini"
be5X9RKvnJLrmj5Z0Wds,MUL-26-0237,BHP479-,recepcion,2,0,0,0,0,0,0,sin-pagos,
bkcJW8bVO1AX3auwyG0H,MUL-26-0198,AB123CD,recepcion,1,0,0,0,0,0,0,sin-pagos,
blk88btuUxxiM2KFgXkQ,MUL-26-0190,AF772WT,en_revision,3,391545,391545,0,391545,1,1,ok,"Jessica  Medina"
bqyHDcLGztB1tvAyY7Dy,MUL-26-0248,OZV174,en_revision,3,1593440,1593440,0,1593440,1,1,ok,"Jessica  Medina"
btSff9EuBJVNPxG60AXt,MUL-26-0204,OOR894,recepcion,1,0,0,0,0,0,0,sin-pagos,
e1dwPS8cTBiDeu5pBuhu,MUL-26-0229,KAN274,en_revision,3,1305950,1305950,0,1305950,1,1,ok,"Jessica  Medina"
frvzuq31446YtzwiO7ql,MUL-26-0194,A256YGI,en_revision,3,0,0,0,0,0,0,sin-pagos,
g2PUawoUC8TdOuK0EsBZ,MUL-26-0240,A147LCJ,en_revision,3,961788,961788,0,961788,1,1,ok,"Jessica  Medina"
gcHY9PCZ6OXjewTX5Mkv,MUL-26-0233,AA664GM-,en_revision,3,1000000,1000000,0,1000000,1,1,ok,"Gonzalo Vieyra"
go7dzqWVg5XOqVos4PSn,MUL-26-0192,AE654LX,en_revision,3,477068,477068,0,477068,1,1,ok,"Jessica  Medina"
hVjd7oPaFGx2oU9URFrA,MUL-26-0215,HRB337,en_revision,3,497000,497000,0,497000,1,1,ok,"Gonzalo Vieyra"
huabuEdJXhTBXvfzB6Ad,MUL-26-0238,IEM957,en_revision,3,1171789,1171789,0,1171789,3,3,ok,"Gonzalo Vieyra"
igpjkVVSPH53UEpSjuvV,MUL-26-0195,FNA436,en_revision,3,1071706,1071706,0,1071706,1,1,ok,"Alexia  Pini"
imIqJXPaR7IfkwvHI6P2,MUL-26-0249,NHR759,en_revision,3,735365,735365,0,735365,1,1,ok,"Jessica  Medina"
ja7WB9Q65Qwyb4qk7jOG,MUL-26-0210,AC962CM,en_revision,3,1689415,1689415,0,1689415,1,1,ok,"Jessica  Medina"
