"categoria","id","numeroTramite","estadoWorkflow","estadoEfectivo","estadoMultaManual","dias","pagado","totalCobradoCliente","workflowCerrado"
"C-1","10EthuHtrCF2yC8XamKe","","en_espera_mesa","docs_requerida","","-75","si","248575","no"
"C-1","1Hd7N755jvRt5wnW4imY","","en_gestion","revision_ok","","-17","si","651880","no"
"C-1","2rPm4hg3790yY7Q3AV4u","","descargo_subido","en_proceso","","-64","si","215350","no"
"C-1","3PCPjhzBa3vv9BhM8qxR","","descargo_subido","en_proceso","","-64","si","514000","no"
"C-1","3m3t9WtUdZHFTt16nb0t","","en_revision","pendiente_revision","","-16","si","424780","no"
"C-1","3q9UFogvYsEIpwwswMLQ","","en_gestion","revision_ok","","-11","si","424780","no"
"C-1","4G0Fg19GWQZju5OwLuR7","","descargo_subido","en_proceso","","-78","si","535147","no"
"C-1","4MssA0CziFcQhzm4caWf","","completado","revision_ok","revision_ok","-18","si","288520","si"
"C-1","4zzSttZ2EWufwcGVv1ew","","rebotado","docs_requerida","","-24","si","629170","no"
"C-1","560p9so1QfHt21U4koIT","","en_gestion","revision_ok","","-40","si","272856","no"
"C-1","5DIiyKnBjkWUV8IrRyYQ","","en_espera_mesa","docs_requerida","","-60","si","752487","no"
"C-1","5hF3o8FClSUCWtjG71mT","","en_gestion","revision_ok","","-19","si","259688","no"
"C-1","6fsGTTvZNo1O0Mhz5eIB","","en_gestion","revision_ok","","-75","si","530920","no"
"C-1","78XQYLZTwCg9pLCRvru5","","en_gestion","revision_ok","","-43","si","322585","no"
"C-1","7mjtjh0h1WNE4YLh5lU9","","en_revision","pendiente_revision","","-26","si","265582","no"
"C-1","8s9292AS2hARBpXpt28W","","en_revision","pendiente_revision","","-65","si","306718","no"
"C-1","ALbDLfNJvJIsW1ceARqD","","en_gestion","revision_ok","","-81","si","132900","no"
"C-1","Agy0bPuyEWibPZk7cLLm","","en_revision","pendiente_revision","","-25","si","1339495","no"
"C-1","CCA8ueXFyreke73htP52","","en_revision","pendiente_revision","","-15","si","1139978","no"
"C-1","D6liWWagrqekP0zeYeqZ","","en_gestion","revision_ok","","-11","si","1053305","no"
"C-1","Ec1CWRvEXzb9tYcDadU0","","rebotado","docs_requerida","","-18","si","793000","no"
"C-1","EgJvofjwMFgsNq6KyRy4","","en_espera_mesa","docs_requerida","","-19","si","665000","no"
"C-1","F1BE2nmgo85bemxmfKcM","","en_gestion","revision_ok","","-39","si","134807","no"
"C-1","G5lYfvaZN83OR3OA556Y","","descargo_subido","en_proceso","","-52","si","199000","no"
"C-1","GjqYrXlxb4riLpMZtXiM","","descargo_subido","en_proceso","","-81","si","193812","no"
"C-1","HFGJR4Lt9q6pmJWCBA3h","","rebotado","docs_requerida","","-11","si","786462","no"
"C-1","HWFoAol61nVXOcGbPn4b","","en_revision","pendiente_revision","","-26","si","384862","no"
"C-1","LARL3s5HB68AxutvXS8Z","","descargo_subido","en_proceso","","-78","si","497149","no"
"C-1","LZHeXuAevBXKg4e9neec","","en_espera_mesa","docs_requerida","","-24","si","629170","no"
"C-1","M2dBofs7rXHDX4YWZcoo","","descargo_subido","en_proceso","","-64","si","946300","no"
"C-1","M95wKarURWznIHLEo6gN","","en_revision","pendiente_revision","","-31","si","220390","no"
"C-1","MTWBMnLdDSNK44tKIHmO","","en_gestion","revision_ok","","-33","si","367802","no"
"C-1","NULWragsbMhYgLoXNzpF","","rebotado","docs_requerida","","-37","si","322585","no"
"C-1","NdM4tRXxNVwVFBMHol5U","","en_gestion","revision_ok","","-61","si","115675","no"
"C-1","OpLReLgkVOI3pGUrwTgT","","descargo_subido","en_proceso","","-64","si","379560","no"
"C-1","PN2VcNerZ0n94xQspbdT","","en_espera_mesa","docs_requerida","","-75","si","503912","no"
"C-1","QUPnjRs29fWRNvD6hymk","","en_gestion","revision_ok","","-33","si","135300","no"
"C-1","R0gPwDo5eoZzl0Osnh7z","","rebotado","docs_requerida","","-37","si","424780","no"
"C-1","Sht4a6Vzqai6KLK00aOg","","en_gestion","revision_ok","","-36","si","410533","no"
"C-1","UowmoE31z3hkKOaEcjPs","","en_revision","pendiente_revision","","-32","si","135227","no"
"C-1","VsK7VoOnUpYIDYG6DVQd","","en_gestion","revision_ok","","-15","si","1757315","no"
"C-1","WIMrMtKJV4F8yqMMNiSd","","en_revision","pendiente_revision","","-45","si","403625","no"
"C-1","bau5w55nYJpL6wK8SXrh","","en_gestion","revision_ok","","-33","si","5000000","no"
"C-1","boCjtIyVFisCAVcack6h","","en_espera_mesa","docs_requerida","","-40","si","3027042","no"
"C-1","gdAKWLqw8EbMdIzC6BXW","","descargo_subido","en_proceso","","-75","si","134512","no"
"C-1","gzIYubggNs5ASk88U55P","","en_revision","pendiente_revision","","-45","si","1560350","no"
"C-1","hPrrbSnTxV55iPPYTRMw","","en_gestion","revision_ok","","-36","si","424780","no"
"C-1","hpLUsq3o7e6FJu2oQoVs","","rebotado","docs_requerida","","-33","si","1128790","no"
"C-1","kN1x5Q697KxCjx3fTXk8","","en_gestion","revision_ok","","-33","si","403625","no"
"C-1","kNuGjSsMAVBt5NBEdDZ3","","rebotado","docs_requerida","","-33","si","424780","no"
"C-1","mS9iBLCC8C3d4IVj9PDD","","en_gestion","revision_ok","","-39","si","1544095","no"
"C-1","mmLlfRl5KKCshc7qzV8q","","en_revision","pendiente_revision","","-12","si","3673230","no"
"C-1","nT2QsP5g7L0XGBaljTb3","","descargo_subido","en_proceso","","-52","si","66450","no"
"C-1","olu0crmvyYDdNa10Yh39","","en_revision","pendiente_revision","","-26","si","515775","no"
"C-1","p3widXQAHaOF2S87rQ2C","","descargo_subido","en_proceso","","-81","si","364862","no"
"C-1","pNGc0lCTWGNWMNPusbTK","","en_gestion","revision_ok","","-44","si","403625","no"
"C-1","qHvEfuKmh5s0XUkenlny","","en_revision","pendiente_revision","","-25","si","1548925","no"
"C-1","qe36dddOjSZuRygFQuIR","","en_gestion","revision_ok","","-25","si","65888","no"
"C-1","sLPuwEisA0HYJO2oxxfe","","en_gestion","revision_ok","","-22","si","470200","no"
"C-1","sLojjIBW1rgIkLRWeZbB","","en_espera_mesa","docs_requerida","","-61","si","551600","no"
"C-1","tQj19t1gBwz48rugswa4","","en_gestion","revision_ok","","-52","si","813000","no"
"C-1","uV0vypXfsIQXqkgN9mLN","","en_gestion","revision_ok","","-19","si","55742","no"
"C-1","zj5hZagb0s7QoKnwTgn0","","en_gestion","revision_ok","","-80","si","2118920","no"
"C-2","Fdh2LGeiIh7KNE5UJEQR","","en_gestion","revision_ok","","-72","no","","no"
"C-3","9kTGKb4vNfchw6yXCJjv","","recepcion","pendiente_revision","","-78","no","","no"
"C-3","rDKn15NBn19kFuSffNGe","","en_revision","pendiente_revision","","-75","no","","no"
"C-3","tXiaqLMgxfLAPLMZcBc6","","en_revision","pendiente_revision","","-78","no","","no"
