"categoria","id","numeroTramite","tipo","estado","diasSinMov","actualizadoEn","pagado","totalCobradoCliente","workflowCerrado"
"C-1","10EthuHtrCF2yC8XamKe","","descargo_multa","en_organismo","51","2026-07-01","si","248575","no"
"C-1","1Hd7N755jvRt5wnW4imY","","descargo_multa","en_proceso","6","2026-08-15","si","651880","no"
"C-1","3q9UFogvYsEIpwwswMLQ","","descargo_multa","en_proceso","10","2026-08-11","si","424780","no"
"C-1","4WsRk4FN8uzRCHuHlxP9","","descargo_multa","documentacion_requerida","9","2026-08-12","si","337940","no"
"C-1","4zzSttZ2EWufwcGVv1ew","","descargo_multa","documentacion_requerida","24","2026-07-28","si","629170","no"
"C-1","560p9so1QfHt21U4koIT","","descargo_multa","en_proceso","33","2026-07-19","si","272856","no"
"C-1","5DIiyKnBjkWUV8IrRyYQ","","descargo_multa","en_organismo","51","2026-07-01","si","752487","no"
"C-1","5hF3o8FClSUCWtjG71mT","","descargo_multa","en_proceso","17","2026-08-04","si","259688","no"
"C-1","6fsGTTvZNo1O0Mhz5eIB","","descargo_multa","en_proceso","51","2026-07-01","si","530920","no"
"C-1","78XQYLZTwCg9pLCRvru5","","descargo_multa","en_proceso","39","2026-07-13","si","322585","no"
"C-1","7mjtjh0h1WNE4YLh5lU9","","descargo_multa","en_proceso","25","2026-07-27","si","265582","no"
"C-1","8WSpYTkum6txtqVuuGOE","","inscripcion_inicial","en_proceso","85","2026-05-28","si","","no"
"C-1","8s9292AS2hARBpXpt28W","","descargo_multa","en_organismo","49","2026-07-03","si","306718","no"
"C-1","8z8q9cyQiIwyI1PEHGRt","","descargo_multa","documentacion_requerida","9","2026-08-12","si","4500000","no"
"C-1","Agy0bPuyEWibPZk7cLLm","","descargo_multa","documentacion_requerida","25","2026-07-27","si","1339495","no"
"C-1","CCA8ueXFyreke73htP52","","descargo_multa","en_proceso","8","2026-08-13","si","1139978","no"
"C-1","CZZMNelgQmnWuIWSk72r","","descargo_multa","pendiente","6","2026-08-15","si","1312275","no"
"C-1","D6liWWagrqekP0zeYeqZ","","descargo_multa","en_proceso","8","2026-08-13","si","1053305","no"
"C-1","Ec1CWRvEXzb9tYcDadU0","","descargo_multa","documentacion_requerida","8","2026-08-13","si","793000","no"
"C-1","EgJvofjwMFgsNq6KyRy4","","descargo_multa","documentacion_requerida","17","2026-08-04","si","665000","no"
