reciboId,numeroRecibo,numeroTramite,patente,monto,suatsAntes,suatsDespues,costoSUATS,margen,netoAntes,netoDespues,baseComisionable,accion
1rFAtrHcMv7m9gRquQyD,REC-2026-0261,MUL-26-0195,FNA436,1071706,0,25000,7600,17400,1071706,1064106,1046706,suats-imputado
2PhxwCLiozT7nvyt8qOv,REC-2026-0185,MUL-26-0229,KAN274,1305950,25000,25000,7600,17400,1280950,1298350,1280950,costo-agregado
3QhdbAred5U1Mf2tYMmn,REC-2026-0195,MUL-26-0247,PNN056,2669913,25000,25000,7600,17400,2644913,2662313,2644913,costo-agregado
4R1G97ugIGgvwMzAnhSc,REC-2026-0175,MUL-26-0213,AE566IO,4049451,25000,25000,7600,17400,4024451,4041851,4024451,costo-agregado
5I3l2V3Pj6aV7Ap20jWR,REC-2026-0169,MUL-26-0205,AB127JG,786462,25000,25000,7600,17400,761462,778862,761462,costo-agregado
5lHp01t1Wz1RmCthIB4o,REC-2026-0204,MUL-26-0256,NKT118,706300,25000,25000,7600,17400,681300,698700,681300,costo-agregado
6pQ5QXpa6rJle1GbIZ4M,REC-2026-0194,MUL-26-0246,AA456HÑ,136800,25000,25000,7600,17400,111800,129200,111800,costo-agregado
8n7AWrHSTBwJlPdDK2SG,REC-2026-0184,MUL-26-0228,A123BX2,409230,0,0,0,0,409230,409230,409230,recalculo
AA8WxKVpKgXzbsSXmN21,REC-2026-0178,MUL-26-0221,AE081AO,184370,25000,25000,7600,17400,159370,176770,159370,costo-agregado
AIyMyhvNrIUfrlqpt5tl,REC-2026-0252,MUL-26-0217,AB456EM,1102773,0,25000,7600,17400,1102773,1095173,1077773,suats-imputado
AOXxbRcDzTeedHk7t7va,REC-2026-0189,MUL-26-0240,A147LCJ,961788,25000,25000,7600,17400,936788,954188,936788,costo-agregado
BVbadcpDyuJLmqKSUYFU,REC-2026-0254,MUL-26-0235,AB716LD-,127000,0,25000,7600,17400,127000,119400,102000,suats-imputado
BnC79rITYi4CI66FqgV0,REC-2026-0199,MUL-26-0251,JXK327,1443344,25000,25000,7600,17400,1418344,1435744,1418344,costo-agregado
Cm24jiyODru7ll6kUqXk,REC-2026-0274,MUL-26-0265,AF026AA,1359385,0,25000,7600,17400,1359385,1351785,1334385,suats-imputado
DIYbldkBAKPMzcRizPeP,REC-2026-0193,MUL-26-0245,AF845DK,663680,25000,25000,7600,17400,638680,656080,638680,costo-agregado
DeZ4dVvaMwtWhp8a6F7w,REC-2026-0187,MUL-26-0236,MLM140,1881296,25000,25000,7600,17400,1856296,1873696,1856296,costo-agregado
GlkgGdTOkgrKgRN7qoJ2,REC-2026-0198,MUL-26-0250,MZD634,504010,25000,25000,7600,17400,479010,496410,479010,costo-agregado
Hi0XzCAdEMRyjb5Fwyvb,REC-2026-0260,MUL-26-0238,IEM957,924079,0,25000,7600,17400,924079,916479,899079,suats-imputado
aoZJZDtiZ4NJwpvcGr6W,REC-2026-0258,MUL-26-0238,IEM957,153000,0,0,0,0,153000,153000,153000,recalculo
M0DLY0aLSvJTFIAgy6do,REC-2026-0259,MUL-26-0238,IEM957,94710,0,0,0,0,94710,94710,94710,recalculo
L9RZAYuo9Ep1UppRfN5A,REC-2026-0170,MUL-26-0207,PIH653,1132790,25000,25000,7600,17400,1107790,1125190,1107790,costo-agregado
M5feObgCSdUzeZ8tlwlC,REC-2026-0276,MUL-26-0268,AA858AZ,891168,0,25000,7600,17400,891168,883568,866168,suats-imputado
OY9ecvY15Adz2lmdz2gm,REC-2026-0176,MUL-26-0214,KGL573,144227,25000,25000,7600,17400,119227,136627,119227,costo-agregado
OlfMwTm8psAtfhgtqhXR,REC-2026-0177,MUL-26-0219,AB972YB,775107,25000,25000,7600,17400,750107,767507,750107,costo-agregado
PLht1OZMFauari0UyJoM,REC-2026-0183,MUL-26-0227,A126THZ,230140,25000,25000,7600,17400,205140,222540,205140,costo-agregado
Pm5o78lFrdzULqWVNLlN,REC-2026-0202,MUL-26-0254,AF963WC,1462030,25000,25000,7600,17400,1437030,1454430,1437030,costo-agregado
PngcLeaTxNnc5a9eUnqA,REC-2026-0165,MUL-26-0191,AH439UL,71097,25000,25000,7600,17400,46097,63497,46097,costo-agregado
QTdiNHwdly1eb0MDmNB6,REC-2026-0159,MUL-26-0185,LFX642,137757,25000,25000,7600,17400,112757,130157,112757,costo-agregado
XMNmXwGrgNwAeX5uPHu2,REC-2026-0263,MUL-26-0220,CLJ200,464206,0,25000,7600,17400,464206,456606,439206,suats-imputado
RKNjmURJbZAfKd6s4lOr,REC-2026-0264,MUL-26-0220,CLJ200,450000,0,0,0,0,450000,450000,450000,recalculo
Rmb3DnbZwZXFfpggN6te,REC-2026-0174,MUL-26-0212,ORC710,973820,25000,25000,7600,17400,948820,966220,948820,costo-agregado
Rou3BZsQmr3tobk3V83F,REC-2026-0168,MUL-26-0203,OXY410,1226774,25000,25000,7600,17400,1201774,1219174,1201774,costo-agregado
UPJJafaRRcwAQjI2ordV,REC-2026-0182,MUL-26-0226,A231TFF,263455,25000,25000,7600,17400,238455,255855,238455,costo-agregado
Us7E0DFlMcwjL1a7dKOs,REC-2026-0167,MUL-26-0202,ELF087,263455,25000,25000,7600,17400,238455,255855,238455,costo-agregado
VAXuuErA2AaLdAr6tBl4,REC-2026-0279,MUL-26-0266,AB141EX,250000,0,25000,7600,17400,250000,242400,225000,suats-imputado
VcPG8GBhaKOrPldbqTfI,REC-2026-0267,MUL-26-0259,OTW874,2875532,0,25000,7600,17400,2875532,2867932,2850532,suats-imputado
Vy7wPqchUXLBTs67OwIc,REC-2026-0269,MUL-26-0258,LKD126,1766857,0,25000,7600,17400,1766857,1759257,1741857,suats-imputado
WNEE7YdETjjvYxzyy4oj,REC-2026-0201,MUL-26-0253,AC028YV,161260,25000,25000,7600,17400,136260,153660,136260,costo-agregado
WhmdjkG5af9x2s6G0lLW,REC-2026-0251,MUL-26-0230,PEP027,259505,0,25000,7600,17400,259505,251905,234505,suats-imputado
X1QnyQVIhf4L4ZesB65J,REC-2026-0247,MUL-26-0244,AH837TJ,156269,0,25000,7600,17400,156269,148669,131269,suats-imputado
ZJ3enVb9AFf0KbNC47of,REC-2026-0257,MUL-26-0215,HRB337,497000,0,25000,7600,17400,497000,489400,472000,suats-imputado
ZP5J0WnX2XDY2Kl5cW3s,REC-2026-0253,MUL-26-0234,NFM342,1152000,0,25000,7600,17400,1152000,1144400,1127000,suats-imputado
